LocationID,census_tract_id,apportion_weight
2,3070203,0.346730
2,4107202,0.653270
3,2031000,0.215464
3,2031200,0.068695
3,2031400,0.071740
3,2031600,0.060205
3,2031800,0.060600
3,2032600,0.112400
3,2034200,0.053287
3,2034400,0.053367
3,2034800,0.148791
3,2035000,0.065240
3,2036000,0.090212
4,1002000,0.169923
4,1002202,0.075288
4,1002400,0.227502
4,1002601,0.142270
4,1002602,0.138984
4,1002800,0.246033
5,5017007,0.311964
5,5017009,0.229474
5,5017013,0.118460
5,5017014,0.118761
5,5017015,0.091356
5,5017016,0.129985
6,5001800,0.242870
6,5002002,0.204313
6,5005000,0.221643
6,5006400,0.188347
6,5007400,0.142827
7,4004500,0.060392
7,4004700,0.049040
7,4005300,0.053688
7,4005700,0.061174
7,4005900,0.052056
7,4006100,0.053368
7,4006300,0.058137
7,4006501,0.030399
7,4006502,0.041966
7,4007500,0.035369
7,4007700,0.034657
7,4014100,0.046804
7,4014300,0.037358
7,4014500,0.034950
7,4014700,0.040483
7,4014900,0.029172
7,4015100,0.036501
7,4015300,0.033289
7,4015500,0.040370
7,4015700,0.035161
7,4015900,0.046425
7,4016100,0.029431
7,4016300,0.059810
8,4009900,1.000000
9,4113900,0.121360
9,4118100,0.061572
9,4140902,0.169901
9,4141700,0.282104
9,4142900,0.167980
9,4145101,0.079413
9,4145900,0.117671
10,4018200,0.062736
10,4018401,0.046825
10,4018402,0.051954
10,4018600,0.043652
10,4018800,0.043179
10,4019000,0.046016
10,4019200,0.048630
10,4027200,0.037556
10,4027400,0.035128
10,4027600,0.038791
10,4027800,0.042853
10,4028400,0.104882
10,4028801,0.058301
10,4028802,0.048882
10,4028803,0.092318
10,4078800,0.047135
10,4079000,0.062891
10,4079200,0.088270
11,3016800,0.087276
11,3017000,0.109575
11,3017200,0.107950
11,3017400,0.086393
11,3017600,0.069988
11,3017800,0.085977
11,3018000,0.092352
11,3028000,0.072780
11,3028200,0.088230
11,3028600,0.092776
11,3029200,0.106702
12,1000900,0.011753
12,1031900,0.988247
13,1031703,0.522230
13,1031704,0.477770
14,3003000,0.017508
14,3003400,0.076891
14,3003600,0.020113
14,3003800,0.020394
14,3004400,0.067119
14,3004600,0.046201
14,3005000,0.035619
14,3005201,0.021635
14,3005202,0.020847
14,3005400,0.025953
14,3005601,0.027540
14,3005602,0.021318
14,3005800,0.031019
14,3006000,0.024440
14,3006200,0.026047
14,3006400,0.032607
14,3006600,0.024652
14,3006800,0.029772
14,3007000,0.023462
14,3012600,0.037071
14,3013000,0.028319
14,3013400,0.042991
14,3013600,0.034470
14,3013800,0.026165
14,3014200,0.032190
14,3016000,0.041531
14,3016200,0.037909
14,3016400,0.126217
15,4099701,0.227065
15,4099703,0.133405
15,4099704,0.156799
15,4099705,0.102089
15,4099900,0.150438
15,4101700,0.230204
16,4108500,0.059436
16,4109300,0.142887
16,4109700,0.059433
16,4109900,0.050522
16,4111300,0.097390
16,4112300,0.037279
16,4112900,0.047375
16,4113300,0.034064
16,4139900,0.048669
16,4140300,0.049974
16,4140901,0.032649
16,4143500,0.047668
16,4144100,0.045031
16,4144700,0.055275
16,4145102,0.045696
16,4146300,0.043117
16,4146700,0.047217
16,4147100,0.056318
17,3023300,0.056680
17,3024100,0.059435
17,3024300,0.050939
17,3024500,0.055035
17,3024900,0.055574
17,3025100,0.045685
17,3025300,0.053378
17,3025500,0.045732
17,3025700,0.059734
17,3025901,0.026468
17,3025902,0.019676
17,3026100,0.065784
17,3026300,0.039455
17,3026500,0.052660
17,3026700,0.052632
17,3026900,0.044188
17,3050700,0.057544
17,3053101,0.026013
17,3053102,0.027365
17,3123700,0.106022
18,2023702,0.034380
18,2039901,0.109196
18,2039902,0.087316
18,2040100,0.122806
18,2040302,0.045517
18,2040501,0.058233
18,2040502,0.102282
18,2040702,0.130474
18,2041100,0.087321
18,2041300,0.124376
18,2041500,0.098099
19,4130100,0.135274
19,4156700,0.284946
19,4157101,0.239163
19,4157102,0.062734
19,4161700,0.137127
19,4162100,0.140756
20,2038700,0.145320
20,2038900,0.136222
20,2039100,0.163205
20,2039300,0.144822
20,2039700,0.410432
21,3029800,0.066532
21,3030000,0.058692
21,3030200,0.063547
21,3030400,0.139361
21,3040000,0.057544
21,3040200,0.059436
21,3040400,0.046235
21,3040600,0.044294
21,3040800,0.046189
21,3041000,0.042974
21,3041200,0.049765
21,3042400,0.048465
21,3042600,0.051158
21,3042800,0.049571
21,3043000,0.048121
21,3043200,0.044543
21,3043400,0.042190
21,3043600,0.041383
22,3018200,0.038187
22,3018400,0.034416
22,3018600,0.026089
22,3018800,0.040434
22,3019000,0.049135
22,3024800,0.040631
22,3025000,0.040034
22,3025200,0.041828
22,3025400,0.040491
22,3025600,0.040055
22,3025800,0.039280
22,3026000,0.037590
22,3026200,0.036437
22,3026400,0.043715
22,3026600,0.038281
22,3026800,0.041303
22,3027000,0.030959
22,3027200,0.030495
22,3027400,0.037704
22,3027600,0.034472
22,3027800,0.037042
22,3028400,0.037906
22,3028800,0.035267
22,3029000,0.035699
22,3029400,0.043227
22,3029600,0.049322
23,5017300,0.017561
23,5018703,0.024053
23,5018704,0.027310
23,5018902,0.038623
23,5027301,0.155485
23,5027302,0.052339
23,5029102,0.502241
23,5029104,0.077765
23,5029105,0.082522
23,5029106,0.022100
24,1019300,0.447211
24,1019500,0.552789
25,3003700,0.142877
25,3003900,0.134137
25,3004100,0.139377
25,3004300,0.141803
25,3006901,0.064090
25,3006902,0.090037
25,3007100,0.147062
25,3012700,0.140617
26,3011400,0.033444
26,3011600,0.031941
26,3019200,0.037828
26,3021400,0.033479
26,3021600,0.033520
26,3021800,0.031457
26,3022000,0.038722
26,3022200,0.035117
26,3022400,0.035000
26,3022600,0.031125
26,3022800,0.033358
26,3023000,0.030088
26,3023200,0.045122
26,3023400,0.033835
26,3023600,0.033853
26,3023800,0.033863
26,3024000,0.033834
26,3024200,0.038165
26,3024400,0.030941
26,3024600,0.034174
26,3044600,0.028136
26,3046400,0.032644
26,3046800,0.059134
26,3047000,0.036408
26,3047200,0.034268
26,3047400,0.035051
26,3047600,0.041408
26,3047800,0.044083
27,4091602,0.188111
27,4091603,0.277022
27,4091604,0.368806
27,4091800,0.166061
28,4021400,0.138221
28,4022001,0.142428
28,4022002,0.111716
28,4023000,0.061114
28,4023200,0.121929
28,4023600,0.065039
28,4044800,0.076813
28,4045000,0.062354
28,4045200,0.076109
28,4045400,0.086132
28,4045600,0.058146
29,3036001,0.059239
29,3036002,0.053811
29,3036200,0.107428
29,3036400,0.089638
29,3036600,0.146512
29,3037000,0.210635
29,3061002,0.141445
29,3061003,0.052486
29,3061004,0.138806
30,4107201,1.000000
31,2033400,1.000000
32,2032400,0.189442
32,2032800,0.145114
32,2033000,0.146152
32,2033201,0.080652
32,2033202,0.081144
32,2033601,0.090773
32,2033602,0.040008
32,2033801,0.081126
32,2033802,0.033321
32,2034000,0.112267
33,1000700,0.019265
33,1000900,0.042927
33,1001502,0.031082
33,3000100,0.202700
33,3000301,0.197290
33,3000501,0.082177
33,3000502,0.094664
33,3000700,0.171514
33,3000900,0.158380
34,3021100,0.095613
34,3054300,0.904387
35,3089200,0.059063
35,3089400,0.056650
35,3089600,0.049084
35,3089800,0.050780
35,3090000,0.080853
35,3090200,0.062691
35,3090600,0.064422
35,3090800,0.097648
35,3091000,0.069731
35,3091200,0.055030
35,3091600,0.070942
35,3091800,0.068954
35,3092000,0.078087
35,3092200,0.053264
35,3092400,0.082802
36,3040900,0.070975
36,3042700,0.063961
36,3042900,0.072618
36,3043100,0.072657
36,3043300,0.072664
36,3043500,0.072661
36,3043700,0.072624
36,3043900,0.086346
36,3044100,0.061333
36,3044300,0.072454
36,3044500,0.073325
36,3044700,0.070308
36,3045300,0.138073
37,3028501,0.019617
37,3038900,0.038403
37,3039100,0.039178
37,3039300,0.044761
37,3039500,0.037570
37,3039700,0.037512
37,3039900,0.035650
37,3040100,0.037632
37,3040300,0.048358
37,3040500,0.032773
37,3040700,0.120281
37,3041100,0.031386
37,3041300,0.038221
37,3041500,0.038332
37,3041700,0.033276
37,3041900,0.036067
37,3042100,0.036167
37,3042300,0.042957
37,3042500,0.039561
37,3048500,0.136937
37,3048900,0.021589
37,3049301,0.015988
37,3049302,0.037783
38,4053401,0.084661
38,4059000,0.051463
38,4059200,0.073831
38,4059400,0.072262
38,4059600,0.063318
38,4059800,0.067362
38,4060000,0.057520
38,4060600,0.070066
38,4060800,0.068688
38,4061000,0.079100
38,4061200,0.085572
38,4061400,0.083816
38,4062200,0.142341
39,3095000,0.031913
39,3095400,0.031174
39,3095600,0.031249
39,3095800,0.030828
39,3096000,0.055873
39,3096200,0.023466
39,3096400,0.023222
39,3096600,0.023833
39,3096800,0.019594
39,3097000,0.021494
39,3097400,0.033134
39,3098200,0.045443
39,3098400,0.014841
39,3098600,0.020498
39,3098800,0.021297
39,3099000,0.021528
39,3099200,0.017702
39,3099400,0.022877
39,3099600,0.024969
39,3099800,0.054947
39,3100400,0.017367
39,3100600,0.020001
39,3100800,0.019582
39,3101000,0.022533
39,3101200,0.021144
39,3101400,0.020379
39,3101600,0.014783
39,3101800,0.032049
39,3102000,0.020659
39,3102200,0.021412
39,3102400,0.018817
39,3102600,0.017862
39,3102801,0.020290
39,3102802,0.087355
39,3103401,0.023161
39,3103402,0.052724
40,3006300,0.098392
40,3006500,0.244032
40,3007500,0.278101
40,3007700,0.379475
41,1018600,0.090747
41,1019000,0.077498
41,1019702,0.035342
41,1020000,0.095459
41,1020102,0.062208
41,1021600,0.129310
41,1021800,0.135850
41,1022000,0.130576
41,1022200,0.135464
41,1025700,0.107546
42,1020600,0.063130
42,1020800,0.062996
42,1021200,0.074787
42,1021400,0.057249
42,1021500,0.029560
42,1022102,0.041970
42,1022400,0.082697
42,1022600,0.064705
42,1022800,0.076577
42,1023000,0.073655
42,1023200,0.076549
42,1023400,0.045968
42,1023502,0.017639
42,1023600,0.111280
42,1024302,0.089258
42,1025900,0.031979
43,1014300,1.000000
44,5022601,0.128908
44,5022602,0.463738
44,5024401,0.154913
44,5024402,0.131461
44,5024800,0.120980
45,1000800,0.319933
45,1001501,0.015300
45,1002500,0.189572
45,1002700,0.086226
45,1002901,0.210312
45,1002902,0.178657
46,2051601,0.717641
46,2051602,0.282359
47,2014500,0.119067
47,2014701,0.090630
47,2014702,0.075836
47,2016500,0.125698
47,2016700,0.134696
47,2016900,0.060816
47,2038500,0.124711
47,2039500,0.268547
48,1011500,0.198666
48,1012101,0.100874
48,1012102,0.100908
48,1012700,0.196773
48,1013300,0.197284
48,1013900,0.205495
49,3019100,0.132591
49,3019300,0.141424
49,3019500,0.071837
49,3019700,0.089052
49,3019900,0.099272
49,3020100,0.091818
49,3022700,0.126086
49,3022900,0.090099
49,3023100,0.083594
49,3023500,0.074226
50,1012901,0.258945
50,1012902,0.233160
50,1013501,0.245888
50,1013502,0.262007
51,2030201,0.060278
51,2030202,0.085050
51,2046203,0.245259
51,2046204,0.037353
51,2046205,0.239392
51,2046206,0.019531
51,2046207,0.050564
51,2046208,0.132370
51,2046209,0.130202
52,3004500,0.401885
52,3004900,0.230111
52,3006700,0.368003
53,4090700,0.432139
53,4091900,0.097696
53,4092500,0.066960
53,4092900,0.204209
53,4093900,0.140540
53,4094700,0.058456
54,1000500,0.217625
54,3004700,0.467063
54,3005100,0.315313
55,3032600,0.074646
55,3032800,0.052832
55,3033000,0.081277
55,3033600,0.153558
55,3034000,0.029901
55,3034200,0.052154
55,3034800,0.147087
55,3035000,0.044738
55,3035200,0.224400
55,3035400,0.085391
55,3035601,0.015160
55,3035602,0.038855
56,4039901,0.056868
56,4039902,0.034146
56,4041100,0.074238
56,4041300,0.085628
56,4041500,0.093504
56,4042700,0.092137
56,4043701,0.078302
56,4043702,0.094510
56,4043900,0.088824
56,4044301,0.072032
56,4044302,0.149934
56,4045500,0.079877
58,2027401,0.569575
58,2027402,0.430425
59,2016300,1.000000
60,2006000,0.208810
60,2012300,0.196666
60,2015300,0.154843
60,2015500,0.075524
60,2015700,0.206420
60,2016100,0.157737
61,3021700,0.024789
61,3021900,0.030662
61,3022100,0.031692
61,3024700,0.037479
61,3027100,0.051685
61,3029700,0.042700
61,3029900,0.029750
61,3030500,0.067339
61,3030700,0.055563
61,3030900,0.031529
61,3031100,0.031620
61,3031300,0.036348
61,3031500,0.037591
61,3031701,0.029143
61,3031702,0.029057
61,3033701,0.020570
61,3033702,0.020634
61,3033900,0.037693
61,3034100,0.029143
61,3034300,0.033809
61,3034500,0.034095
61,3034700,0.029157
61,3034901,0.014587
61,3034902,0.019449
61,3035101,0.014581
61,3035102,0.019422
61,3035301,0.014574
61,3035302,0.019435
61,3035701,0.014530
61,3035702,0.023531
61,3035900,0.037877
61,3038100,0.049967
62,3021300,0.123826
62,3031900,0.102117
62,3032100,0.107952
62,3032300,0.116596
62,3032500,0.113405
62,3033100,0.095979
62,3033300,0.125527
62,3033500,0.121692
62,3035500,0.092906
63,3114201,0.089506
63,3114202,0.035934
63,3114600,0.048382
63,3117201,0.038964
63,3117202,0.045821
63,3117400,0.064337
63,3117601,0.045971
63,3117602,0.043393
63,3117800,0.042844
63,3118000,0.227049
63,3118201,0.038132
63,3118202,0.037502
63,3118400,0.061790
63,3118600,0.039657
63,3118800,0.052619
63,3119000,0.042093
63,3120200,0.046006
64,4138502,0.277549
64,4147900,0.097701
64,4148300,0.151403
64,4150701,0.100473
64,4150702,0.096358
64,4152901,0.159064
64,4152902,0.117452
65,3001100,0.219336
65,3001300,0.383293
65,3001501,0.215055
65,3001502,0.182316
66,3002100,0.743284
66,3002300,0.256716
67,3012801,0.031054
